cik,date,link
1394954,2014-04-22,https://www.sec.gov/Archives/edgar/data/1394954/000104746914004049/a2219699zdef14a.htm
1394954,2013-04-26,https://www.sec.gov/Archives/edgar/data/1394954/000104746913004979/a2214549zdef14a.htm
1499912,2016-04-26,https://www.sec.gov/Archives/edgar/data/1499912/000114420416096337/v436979_def14a.htm
1499912,2015-08-04,https://www.sec.gov/Archives/edgar/data/1499912/000114420415046147/v416911_def14a.htm
1499912,2015-05-01,https://www.sec.gov/Archives/edgar/data/1499912/000114420415026743/v409090_def14a.htm
1499912,2014-04-30,https://www.sec.gov/Archives/edgar/data/1499912/000144530514001585/fxcm-4302014def14a.htm
1499912,2013-04-30,https://www.sec.gov/Archives/edgar/data/1499912/000114420413025329/v342478_def14a.htm
1023024,2016-04-14,https://www.sec.gov/Archives/edgar/data/1023024/000114420416094232/v436561_def14a.htm
1023024,2015-04-24,https://www.sec.gov/Archives/edgar/data/1023024/000114420415024766/v407629_def14a.htm
1023024,2014-04-11,https://www.sec.gov/Archives/edgar/data/1023024/000114420414022146/v370500_def14a.htm
1023024,2013-07-02,https://www.sec.gov/Archives/edgar/data/1023024/000110465913052809/a13-15311_1def14a.htm
934473,2016-09-12,https://www.sec.gov/Archives/edgar/data/934473/000157104916018200/t1602096-def14a.htm
934473,2015-10-06,https://www.sec.gov/Archives/edgar/data/934473/000157104915008107/t1502220-def14a.htm
934473,2014-11-04,https://www.sec.gov/Archives/edgar/data/934473/000157104914005773/t1402010-def14a.htm
934473,2013-10-16,https://www.sec.gov/Archives/edgar/data/934473/000114420413055435/v357300_def14a.htm
716006,2016-03-17,https://www.sec.gov/Archives/edgar/data/716006/000119312516508610/d154644ddef14a.htm
716006,2015-03-17,https://www.sec.gov/Archives/edgar/data/716006/000119312515095538/d884928ddef14a.htm
716006,2014-03-18,https://www.sec.gov/Archives/edgar/data/716006/000119312514104101/d680974ddef14a.htm
716006,2014-02-14,https://www.sec.gov/Archives/edgar/data/716006/000119312514052723/d649533ddef14a.htm
716006,2013-03-20,https://www.sec.gov/Archives/edgar/data/716006/000119312513116170/d478260ddef14a.htm
1235007,2016-03-23,https://www.sec.gov/Archives/edgar/data/1235007/000114420416089729/v434150_def14a.htm
1235007,2015-04-02,https://www.sec.gov/Archives/edgar/data/1235007/000114420415020830/v405760_def14a.htm
1235007,2014-03-25,https://www.sec.gov/Archives/edgar/data/1235007/000114420414017549/v372572_def14a.htm
1235007,2013-04-19,https://www.sec.gov/Archives/edgar/data/1235007/000114420413022953/v341656_def14a.htm
873303,2016-05-31,https://www.sec.gov/Archives/edgar/data/873303/000156459016020170/srpt-def14a_20160627.htm
873303,2015-04-30,https://www.sec.gov/Archives/edgar/data/873303/000117494715000749/b408251_def14a.htm
873303,2014-04-30,https://www.sec.gov/Archives/edgar/data/873303/000117494714000222/b375325_def14a.htm
873303,2013-04-30,https://www.sec.gov/Archives/edgar/data/873303/000119312513187739/d523596ddef14a.htm
1365101,2016-03-29,https://www.sec.gov/Archives/edgar/data/1365101/000114036116059334/formdef14a.htm
1365101,2015-03-30,https://www.sec.gov/Archives/edgar/data/1365101/000114036115013481/formdef14a.htm
1365101,2014-03-21,https://www.sec.gov/Archives/edgar/data/1365101/000114036114013780/formdef14a.htm
1365101,2013-04-16,https://www.sec.gov/Archives/edgar/data/1365101/000114036113016511/formdef14a.htm
902791,2016-06-01,https://www.sec.gov/Archives/edgar/data/902791/000119312516609613/d60420ddef14a.htm
902791,2015-04-22,https://www.sec.gov/Archives/edgar/data/902791/000119312515141941/d838387ddef14a.htm
902791,2014-04-22,https://www.sec.gov/Archives/edgar/data/902791/000119312514152638/d629767ddef14a.htm
902791,2013-04-19,https://www.sec.gov/Archives/edgar/data/902791/000119312513163034/d488998ddef14a.htm
819050,2016-04-06,https://www.sec.gov/Archives/edgar/data/819050/000119312516532330/d143437ddef14a.htm
819050,2015-04-08,https://www.sec.gov/Archives/edgar/data/819050/000119312515122404/d893206ddef14a.htm
819050,2014-04-09,https://www.sec.gov/Archives/edgar/data/819050/000119312514136180/d701373ddef14a.htm
819050,2013-04-10,https://www.sec.gov/Archives/edgar/data/819050/000119312513148799/d517633ddef14a.htm
1070336,2016-04-15,https://www.sec.gov/Archives/edgar/data/1070336/000119312516543210/d121721ddef14a.htm
1070336,2015-04-17,https://www.sec.gov/Archives/edgar/data/1070336/000119312515135867/d894019ddef14a.htm
1070336,2014-04-18,https://www.sec.gov/Archives/edgar/data/1070336/000119312514149059/d688201ddef14a.htm
1070336,2013-04-12,https://www.sec.gov/Archives/edgar/data/1070336/000119312513152974/d506619ddef14a.htm
1426800,2016-04-22,https://www.sec.gov/Archives/edgar/data/1426800/000114420416095653/v436338_def14a.htm
1426800,2015-04-13,https://www.sec.gov/Archives/edgar/data/1426800/000114420415022368/v407086_def14a.htm
1426800,2014-06-09,https://www.sec.gov/Archives/edgar/data/1426800/000114420414036551/v380103_def14a.htm
1426800,2013-04-19,https://www.sec.gov/Archives/edgar/data/1426800/000114420413022819/v341578_def14a.htm
1392091,2016-09-12,https://www.sec.gov/Archives/edgar/data/1392091/000139209116000162/schedule14c.htm
1392091,2014-05-21,https://www.sec.gov/Archives/edgar/data/1392091/000119312514207104/d730432ddef14a.htm
1311486,2013-04-19,https://www.sec.gov/Archives/edgar/data/1311486/000117184313001424/def14a_041913.htm
1574460,2016-11-22,https://www.sec.gov/Archives/edgar/data/1574460/000121390016018878/def14a1116_straightpath.htm
1574460,2015-11-24,https://www.sec.gov/Archives/edgar/data/1574460/000121390015009066/def14a_straightpath.htm
1574460,2014-11-24,https://www.sec.gov/Archives/edgar/data/1574460/000121390014008565/d31866.htm
1574460,2013-11-26,https://www.sec.gov/Archives/edgar/data/1574460/000121390013006903/def14a0114_straightpath.htm
1158324,2016-03-22,https://www.sec.gov/Archives/edgar/data/1158324/000104746916011447/a2227696zdef14a.htm
1158324,2015-03-19,https://www.sec.gov/Archives/edgar/data/1158324/000104746915002452/a2223821zdef14a.htm
1158324,2014-03-04,https://www.sec.gov/Archives/edgar/data/1158324/000104746914001757/a2218643zdef14a.htm
1158324,2013-02-28,https://www.sec.gov/Archives/edgar/data/1158324/000104746913001906/a2213229zdef14a.htm
1289340,2016-04-14,https://www.sec.gov/Archives/edgar/data/1289340/000119312516540768/d116878ddef14a.htm
1289340,2015-04-17,https://www.sec.gov/Archives/edgar/data/1289340/000119312515134656/d868540ddef14a.htm
1289340,2014-04-28,https://www.sec.gov/Archives/edgar/data/1289340/000119312514161574/d658455ddef14a.htm
1289340,2013-04-26,https://www.sec.gov/Archives/edgar/data/1289340/000119312513175994/d477421ddef14a.htm
1422109,2016-01-08,https://www.sec.gov/Archives/edgar/data/1422109/000139390516000686/bblu_def14c.htm
1422109,2015-05-29,https://www.sec.gov/Archives/edgar/data/1422109/000139390515000298/bblu_def14a.htm
1422109,2014-06-13,https://www.sec.gov/Archives/edgar/data/1422109/000139390514000362/bblu_def14a.htm
1025953,2016-04-29,https://www.sec.gov/Archives/edgar/data/1025953/000092189516004293/def14a10453003_04292016.htm
1025953,2015-06-01,https://www.sec.gov/Archives/edgar/data/1025953/000102595315000032/novcdef14a-06012015.htm
1025953,2014-04-25,https://www.sec.gov/Archives/edgar/data/1025953/000144757214000014/i12541.htm
